2024-07-01 21:20:26,219 INFO    StreamThr :40668 [internal.py:wandb_internal():87] W&B internal server running at pid: 40668, started at: 2024-07-01 21:20:26.219113
2024-07-01 21:20:26,220 DEBUG   HandlerThread:40668 [handler.py:handle_request():144] handle_request: status
2024-07-01 21:20:26,221 INFO    WriterThread:40668 [datastore.py:open_for_write():85] open: /home/rawilwgu/Project-Build-an-ML-Pipeline-Starter/src/train_random_forest/wandb/run-20240701_212026-ulpdkgmr/run-ulpdkgmr.wandb
2024-07-01 21:20:26,222 DEBUG   SenderThread:40668 [sender.py:send():334] send: header
2024-07-01 21:20:26,225 DEBUG   SenderThread:40668 [sender.py:send():334] send: run
2024-07-01 21:20:26,495 INFO    SenderThread:40668 [dir_watcher.py:__init__():216] watching files in: /home/rawilwgu/Project-Build-an-ML-Pipeline-Starter/src/train_random_forest/wandb/run-20240701_212026-ulpdkgmr/files
2024-07-01 21:20:26,495 INFO    SenderThread:40668 [sender.py:_start_run_threads():1065] run started: ulpdkgmr with start time 1719886826.218401
2024-07-01 21:20:26,495 DEBUG   SenderThread:40668 [sender.py:send_request():361] send_request: summary_record
2024-07-01 21:20:26,495 DEBUG   HandlerThread:40668 [handler.py:handle_request():144] handle_request: check_version
2024-07-01 21:20:26,495 INFO    SenderThread:40668 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2024-07-01 21:20:26,496 DEBUG   SenderThread:40668 [sender.py:send_request():361] send_request: check_version
2024-07-01 21:20:26,585 DEBUG   HandlerThread:40668 [handler.py:handle_request():144] handle_request: run_start
2024-07-01 21:20:26,599 DEBUG   HandlerThread:40668 [system_info.py:__init__():31] System info init
2024-07-01 21:20:26,599 DEBUG   HandlerThread:40668 [system_info.py:__init__():46] System info init done
2024-07-01 21:20:26,599 INFO    HandlerThread:40668 [system_monitor.py:start():151] Starting system monitor
2024-07-01 21:20:26,599 INFO    SystemMonitor:40668 [system_monitor.py:_start():116] Starting system asset monitoring threads
2024-07-01 21:20:26,600 INFO    HandlerThread:40668 [system_monitor.py:probe():172] Collecting system info
2024-07-01 21:20:26,601 INFO    SystemMonitor:40668 [interfaces.py:start():168] Started cpu
2024-07-01 21:20:26,601 INFO    SystemMonitor:40668 [interfaces.py:start():168] Started disk
2024-07-01 21:20:26,601 INFO    SystemMonitor:40668 [interfaces.py:start():168] Started gpu
2024-07-01 21:20:26,603 INFO    SystemMonitor:40668 [interfaces.py:start():168] Started memory
2024-07-01 21:20:26,603 INFO    SystemMonitor:40668 [interfaces.py:start():168] Started network
2024-07-01 21:20:26,612 DEBUG   HandlerThread:40668 [system_info.py:probe():195] Probing system
2024-07-01 21:20:26,630 DEBUG   HandlerThread:40668 [system_info.py:_probe_git():180] Probing git
2024-07-01 21:20:26,636 DEBUG   HandlerThread:40668 [system_info.py:_probe_git():188] Probing git done
2024-07-01 21:20:26,636 DEBUG   HandlerThread:40668 [system_info.py:probe():241] Probing system done
